OBJECTID,ACCIDENTNUM,ACCIDENTDATE,LOCATION,ACCIDENT_LOCATION,IMPACT_LOCATION,ENVIRONMENT_CONDITION,LIGHT,COLLISION_TYPE,TRAFFICCOLLISIONSID
192,12-035889,20120214,BELMONT AVE W @ VICTORIA ST S,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
193,12-021189,20120127,RIVERBANK DR @ KING ST E,01-Non intersection,11-Not on roadway - right side,03-Snow,01-Daylight,INTERSECTION,
194,12-047741,20120229,LOUISA ST @ ST LEGER ST,03-At intersection,01-Within intersection,04-Freezing Rain,01-Daylight,INTERSECTION,
195,12-043438,20120221,PIONEER DR @ DOON VILLAGE RD,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
196,12-023013,20120129,HAZELGLEN DR @ DALEGROVE DR,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
197,13-013643,20130117,OLD ZELLER DR @ PEBBLECREEK DR,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
198,13-040194,20130219,DEVON ST @ JUBILEE DR / PARK ST,02-Intersection related,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
199,13-056401,20130228,SEREDA RD @ SPRING VALLEY RD / GUELPH ST,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
200,13-062309,20130319,GUELPH ST @ MAPLE AVE,04-At/near private drive,02-Thru lane,01-Clear,07-Dark,INTERSECTION,
201,13-005742,20130108,WHITNEY PL @ PETER ST,03-At intersection,11-Not on roadway - right side,,,INTERSECTION,
202,13-062520,20130320,RESURRECTION DR @ NORTHMANOR CRES,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
203,13-044220,20130223,GENEVA CRES @ SELKIRK DR,04-At/near private drive,09-Right shoulder,01-Clear,01-Daylight,INTERSECTION,
204,12-064538,20120319,DEKAY ST @ BRIAR AVE,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
205,12-060212,20120315,TRILLIUM DR @ GROFF PL,02-Intersection related,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
206,12-124929,20120529,HALIFAX DR @ CONFEDERATION DR,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
207,12-100031,20120430,PAULANDER DR @ LAWRENCE AVE,01-Non intersection,02-Thru lane,02-Rain,07-Dark,INTERSECTION,
208,12-087639,20120413,MAX BECKER DR @ HELENA FEASBY ST,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
209,13-020089,20130125,COPPER LEAF ST @ COTTON GRASS ST,02-Intersection related,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
210,13-019213,20130124,EAST AVE @ BORDEN AVE N,02-Intersection related,11-Not on roadway - right side,01-Clear,07-Dark,INTERSECTION,
211,13-027020,20130203,LANCASTER ST E @ BINGEMAN ST,03-At intersection,11-Not on roadway - right side,01-Clear,01-Daylight,INTERSECTION,
212,13-044858,20130226,THE COUNTRY WAY @ TUERR DR,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
213,13-111046,20130517,SYDNEY ST S @ MILL ST,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
214,13-109696,20130516,WOODHAVEN RD @ WILSON AVE,01-Non intersection,11-Not on roadway - right side,01-Clear,01-Daylight,INTERSECTION,
215,13-103879,20130508,GLASGOW ST @ KNELL DR,02-Intersection related,10-Not on roadway - left side,01-Clear,07-Dark,INTERSECTION,
216,13-101200,20130505,CONNAUGHT ST @ NINTH AVE,03-At intersection,01-Within intersection,01-Clear,"08-Dark, artificial",INTERSECTION,
217,13-106721,20130512,HURON RD @ WOODBINE AVE,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
218,13-079792,20130410,BLOCK LINE RD @ KINGSWOOD DR,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
219,13-105457,20130510,WILHELM ST @ AHRENS ST W,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
220,13-045305,20130226,THE COUNTRY WAY @ SPRING HILL PL,04-At/near private drive,12-Off highway,01-Clear,01-Daylight,INTERSECTION,
221,13-185513,20130810,FERGUS AVE @ FALESY AVE,01-Non intersection,09-Right shoulder,01-Clear,"06-Dusk, artificial",INTERSECTION,
222,13-085026,20130417,COURTLAND AVE E @ HAYWARD AVE,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
223,13-081697,20130406,WINDERMERE CRT @ ROLLING MEADOWS DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
224,13-099227,20130503,DUKE ST W @ COLLEGE ST,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
225,13-093903,20130427,GUELPH ST @ ST VINCENT ST / ARNOLD ST,02-Intersection related,11-Not on roadway - right side,01-Clear,01-Daylight,INTERSECTION,
226,13-104416,20130509,AHRENS ST W @ BREITHAUPT ST,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
227,13-098335,20130502,FORESTWOOD DR @ GLEN PARK CRES,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
228,13-098003,20130502,LOUISA ST @ MOORE AVE,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
229,13-096773,20130430,HEIMAN ST @ TAMROTH CLOSE,01-Non intersection,02-Thru lane,01-Clear,"08-Dark, artificial",INTERSECTION,
230,13-092903,20130426,KING ST W @ GAUKEL ST,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
231,13-095516,20130429,STIRLING AVE S @ LORNE AVE / LORNE CRES,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
232,13-098496,20130501,OLD CHICOPEE DR @ EDENBRIDGE DR,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
233,13-092664,20130426,CLARK AVE @ BROADMOOR AVE,01-Non intersection,02-Thru lane,01-Clear,03-Dawn,INTERSECTION,
234,13-092474,20130425,RITTENHOUSE RD @ TUERR DR,01-Non intersection,02-Thru lane,01-Clear,"08-Dark, artificial",INTERSECTION,
235,13-028345,20130205,PINECREST DR @ FRANKLIN ST N,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
236,13-028194,20130204,SIMEON ST @ BINGEMAN ST,03-At intersection,01-Within intersection,01-Clear,"08-Dark, artificial",INTERSECTION,
237,13-027788,20130204,RIVER RD E @ HOLBORN DR,02-Intersection related,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
238,12-277837,20121125,LYNDHURST DR @ KENWOOD DR,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
239,13-134607,20130613,BELMONT AVE W @ ROCK AVE,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
240,13-108616,20130517,PEBBLECREEK DR @ COUNTRY CLAIR ST,01-Non intersection,,01-Clear,99-Other,INTERSECTION,
241,13-049453,20130303,FOXGLOVE CRES @ PROSPERITY DR,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
242,13-057489,20130314,STECKLE PL @ TRILLIUM DR,01-Non intersection,10-Not on roadway - left side,03-Snow,"08-Dark, artificial",INTERSECTION,
243,13-046422,20130228,KING ST W @ YOUNG ST,01-Non intersection,02-Thru lane,04-Freezing Rain,"06-Dusk, artificial",INTERSECTION,
244,12-302209,20121231,WILSON AVE @ KINGSWAY DR,04-At/near private drive,,01-Clear,01-Daylight,INTERSECTION,
245,12-269795,20121115,NOTTINGHAM AVE @ MANCHESTER RD,04-At/near private drive,09-Right shoulder,01-Clear,07-Dark,INTERSECTION,
246,12-024907,20120131,KING ST E @ PANDORA AVE N / PANDORA AVE S,03-At intersection,01-Within intersection,01-Clear,"08-Dark, artificial",INTERSECTION,
247,12-024420,20120130,DOON VILLAGE RD @ BECHTEL DR,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
248,13-098410,20130501,DUKE ST W @ LOUISA ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
249,13-103686,20130508,LAWRENCE AVE @ HIGHLAND RD W,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
250,13-054608,20130310,STIRLING AVE S @ KING ST E / STIRLING AVE N,03-At intersection,01-Within intersection,01-Clear,"08-Dark, artificial",INTERSECTION,
251,13-063660,20130321,FRANKLIN ST S @ KINGSWAY DR,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
252,12-035103,20120211,HARTWOOD AVE @ HARTWOOD PL / AHRENS ST W,04-At/near private drive,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
253,12-035579,20120213,STIRLING AVE N @ EAST AVE,03-At intersection,02-Thru lane,01-Clear,07-Dark,INTERSECTION,
254,12-019386,20120124,WESTHEIGHTS DR @ BLACKWELL DR,02-Intersection related,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
255,12-289108,20121211,CHARLES ST E @ PANDORA AVE S,01-Non intersection,02-Thru lane,01-Clear,07-Dark,INTERSECTION,
256,12-228138,20120925,BLACKHORNE DR @ STRASBURG RD,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
257,12-138298,20120613,BELMONT AVE W @ BELMONT LANE E,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
258,12-134220,20120609,OPRINGTON DR @ OPRINGTON CRT / OPRINGTON PL,03-At intersection,01-Within intersection,02-Rain,01-Daylight,INTERSECTION,
259,12-249546,20121021,ACTIVA AVE @ ISAIAH DR,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
260,12-159933,20120709,KING ST W @ ONTARIO ST S / ONTARIO ST N,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
261,12-192967,20120817,FISCHER HALLMAN RD @ QUEENS BLVD,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
262,12-257657,20121031,SAMUEL ST @ KRUG ST,03-At intersection,01-Within intersection,02-Rain,"08-Dark, artificial",INTERSECTION,
263,12-259651,20121101,MANITOU DR @ WABANAKI DR,01-Non intersection,02-Thru lane,02-Rain,05-Dusk,INTERSECTION,
264,12-209293,20120904,WILDERNESS DR @ BUSH CLOVER CRES / ACTIVA AVE,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
265,12-248429,20121019,UNION ST @ EDWIN ST,03-At intersection,01-Within intersection,02-Rain,"08-Dark, artificial",INTERSECTION,
266,12-280898,20121130,PIONEER DR @ UPPER CANADA DR,01-Non intersection,02-Thru lane,03-Snow,"06-Dusk, artificial",INTERSECTION,
267,12-263917,20121108,MORRISON RD @ WATERBEND CRES / SIMS ESTATE DR,04-At/near private drive,02-Thru lane,01-Clear,07-Dark,INTERSECTION,
268,12-268102,20121114,CENTURY HILL DR @ COUNTRY HILL DR,02-Intersection related,11-Not on roadway - right side,01-Clear,01-Daylight,INTERSECTION,
269,12-285079,20121206,CHAPEL ST @ EAST AVE,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
270,12-283976,20121104,QUEEN ST S @ MILL ST,01-Non intersection,02-Thru lane,01-Clear,"08-Dark, artificial",INTERSECTION,
271,12-282688,20121203,THALER AVE @ FAIRWAY RD N,04-At/near private drive,12-Off highway,01-Clear,07-Dark,INTERSECTION,
272,12-114097,20120517,RIVERBEND DR @ GUELPH ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
273,12-095764,20120425,STIRLING AVE S @ HIGHLAND RD E,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
274,12-283127,20121203,HALLS LANE W @ WATER ST S,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
275,12-160974,20120710,SAMUEL ST @ CHAPEL ST,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
276,12-269862,20121110,CEDARWOODS CRES @ KINGSWAY DR,04-At/near private drive,02-Thru lane,02-Rain,"06-Dusk, artificial",INTERSECTION,
277,12-245457,20121016,SYDNEY ST S @ BEDFORD RD,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
278,12-246830,20121017,FOUR SEASONS CRT @ COUNTRY HILL DR,02-Intersection related,02-Thru lane,01-Clear,07-Dark,INTERSECTION,
279,12-078675,20120405,RIVER RD E @ FREDERICK ST,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
280,12-181382,20120803,BINGEMAN ST @ SAMUEL ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
281,12-163764,20120713,TU LANE ST @ KING ST E,04-At/near private drive,02-Thru lane,01-Clear,"06-Dusk, artificial",INTERSECTION,
282,12-296122,20121221,RIVER RD E @ HICKSON DR,02-Intersection related,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
283,12-300898,20121229,RIVER RD E @ KRUG ST,03-At intersection,11-Not on roadway - right side,01-Clear,"02-Daylight, artificial",INTERSECTION,
284,12-157950,20120707,KING ST W @ WATER ST N / WATER ST S,01-Non intersection,02-Thru lane,01-Clear,"08-Dark, artificial",INTERSECTION,
285,12-010950,20120114,TRAYNOR AVE @ BALFOUR CRES,01-Non intersection,09-Right shoulder,01-Clear,07-Dark,INTERSECTION,
286,12-076205,20120402,STOKE DR @ LENNOX CRES,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
287,12-181037,20120803,MANSION ST @ LANCASTER ST E,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
288,12-138249,20120606,HIGHLAND RD E @ SPADINA RD E,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
289,12-298934,20121225,KENSINGTON AVE @ PERKELL PL,04-At/near private drive,02-Thru lane,01-Clear,07-Dark,INTERSECTION,
290,12-298885,20121224,WEBER ST E @ STIRLING AVE N,04-At/near private drive,02-Thru lane,01-Clear,07-Dark,INTERSECTION,
291,12-262340,20121106,QUEEN ST N @ LANCASTER ST W / LANCASTER ST E,03-At intersection,01-Within intersection,01-Clear,"06-Dusk, artificial",INTERSECTION,
292,12-068891,20120324,WATER ST N @ DUKE ST W,03-At intersection,01-Within intersection,02-Rain,01-Daylight,INTERSECTION,
293,13-176852,20130731,CHARLES ST E @ SYDNEY ST S,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
294,13-038026,20130217,TRUSSLER RD @ HIGHVIEW DR,02-Intersection related,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
295,12-043156,20120222,WESTFOREST TRAIL @ HIDDEN CREEK DR,03-At intersection,02-Thru lane,01-Clear,07-Dark,INTERSECTION,
296,12-283170,20121201,CONFEDERATION DR @ TUPPER CRES,04-At/near private drive,09-Right shoulder,01-Clear,07-Dark,INTERSECTION,
297,13-064520,20130319,RIVER RD E @ OLD CHICOPEE DR,03-At intersection,02-Thru lane,03-Snow,"08-Dark, artificial",INTERSECTION,
298,13-065010,20130319,GLASGOW ST @ PARK ST,03-At intersection,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
299,12-021347,20120127,KINZIE AVE @ WALKER ST,04-At/near private drive,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
300,13-062461,20130320,HAZELGLEN DR @ CHOPIN DR,03-At intersection,10-Not on roadway - left side,01-Clear,07-Dark,INTERSECTION,
301,13-073774,20130403,COPPER LEAF ST @ MAX BECKER DR,03-At intersection,01-Within intersection,03-Snow,01-Daylight,INTERSECTION,
302,13-068048,20130327,BLOCK LINE RD @ HANOVER ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
303,12-010956,20120114,LORRAINE AVE @ MONTCALM DR,01-Non intersection,02-Thru lane,01-Clear,"08-Dark, artificial",INTERSECTION,
304,12-017976,20120114,MILL PARK DR @ GREEN VALLEY DR,01-Non intersection,10-Not on roadway - left side,01-Clear,01-Daylight,INTERSECTION,
305,13-098026,20130502,QUEENS BLVD @ EAGEN DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
306,13-096542,20130430,CHERRY ST @ STRANGE ST,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
307,12-015338,20120119,ERINBROOK DR @ RIDGEWAY CRES,01-Non intersection,02-Thru lane,03-Snow,07-Dark,INTERSECTION,
308,12-299415,20121227,KRUG ST @ RIVER RD E,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
309,12-296173,20121221,SANDSPRINGS CRES @ SANDSPRINGS CRT,04-At/near private drive,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
310,13-188460,20130814,KING ST E @ DANE ST,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
311,13-155152,20130705,SPORTSWORLD DR @ GATEWAY PARK DR / HELDMANN RD,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
312,13-042855,20130222,SHANLEY ST @ WATERLOO ST,03-At intersection,01-Within intersection,04-Freezing Rain,05-Dusk,INTERSECTION,
313,13-032477,20130208,OLD COUNTRY DR @ STRASBURG RD,03-At intersection,01-Within intersection,03-Snow,01-Daylight,INTERSECTION,
314,13-046577,20130228,ROYAL ORCHARD DR @ TOYNBEE CRES,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
315,13-042079,20130222,MONTCALM DR @ TECUMSEH CRES,01-Non intersection,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
316,13-035589,20130212,PARK ST @ AGNES ST,02-Intersection related,02-Thru lane,01-Clear,"08-Dark, artificial",INTERSECTION,
317,13-035373,20130214,DUMFRIES AVE @ CHAPEL ST,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
318,13-041845,20130222,CEDAR ST S @ CHURCH ST,03-At intersection,01-Within intersection,03-Snow,01-Daylight,INTERSECTION,
319,13-057181,20130313,DUNSMERE DR @ BOSWORTH CRES,03-At intersection,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
320,13-028696,20130205,BLEAMS RD @ THISTLEDOWN DR / TRILLIUM DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
321,13-034827,20130213,UNION BLVD @ ESSON ST,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
322,13-181139,20130805,KINGSWAY DR @ EIGHTH AVE,02-Intersection related,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
323,13-132683,20130611,CARWOOD AVE @ DIXON ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
324,13-014208,20130118,OLD MILL RD @ MILL PARK DR,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
325,13-009962,20130113,GOLDEN MEADOW DR @ HIGHVIEW DR,01-Non intersection,02-Thru lane,"07-Fog, mist, smoke, dust","08-Dark, artificial",INTERSECTION,
326,13-014434,20130118,ARDELT AVE @ HANSON AVE,03-At intersection,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
327,13-053396,20130308,SAMUEL ST @ FREDERICK ST,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
328,13-073155,20130402,YORK ST @ MT HOPE ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
329,13-119563,20130527,BLUCHER ST @ MARGARET AVE,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
330,13-062164,20130319,MAUSSER AVE @ STIRLING AVE S,03-At intersection,01-Within intersection,03-Snow,01-Daylight,INTERSECTION,
331,13-099854,20130502,MORNINGVIEW PL @ MILL PARK DR,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
332,13-098895,20130503,PLEASANT AVE @ QUEENS BLVD,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
333,13-097642,20130501,STRANGE ST @ HERLAN AVE,03-At intersection,11-Not on roadway - right side,01-Clear,01-Daylight,INTERSECTION,
334,13-108175,20130513,LANCASTER ST E @ IRVIN ST / BRUBACHER ST,03-At intersection,01-Within intersection,01-Clear,"08-Dark, artificial",INTERSECTION,
335,13-172266,20130725,STIRLING AVE S @ MILL ST,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
336,13-145566,20130625,KINGSWOOD DR @ STRASBURG RD,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
337,13-149434,20130629,WESTHEIGHTS DR @ ROLLING MEADOWS DR,01-Non intersection,11-Not on roadway - right side,01-Clear,03-Dawn,INTERSECTION,
338,13-147908,20130628,SHANLEY ST @ DEKAY ST,04-At/near private drive,02-Thru lane,02-Rain,01-Daylight,INTERSECTION,
339,13-136766,20130615,MORRISON RD @ QUINTE CRES,01-Non intersection,02-Thru lane,01-Clear,"08-Dark, artificial",INTERSECTION,
340,13-116779,20130524,WESTMOUNT RD W @ QUEENS BLVD / WESTMOUNT RD E,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
341,13-079780,20130410,MARGARET AVE @ WILHELM ST,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
342,13-093191,20130426,HEIMAN ST @ HIGHLAND RD E,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
343,13-110977,20130517,QUEEN ST S @ ST GEORGE ST,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
344,13-076615,20130406,GRAND RIVER BLVD @ UNDERHILL CRES,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
345,13-075962,20130401,CAMERON ST N @ TROY ST,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
346,13-053709,20130308,FAIRWAY RD N @ OLD ZELLER DR,01-Non intersection,99-Other,01-Clear,07-Dark,INTERSECTION,
347,13-084582,20130416,GOODRICH DR @ WILSON AVE,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
348,13-031108,20130208,RIVER RD E @ HALLIWELL DR,03-At intersection,02-Thru lane,03-Snow,"06-Dusk, artificial",INTERSECTION,
349,12-076860,20120402,QUEEN ST S @ HALLS LANE E,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
350,13-023362,20130129,ISAIAH PL @ ISAIAH DR,03-At intersection,01-Within intersection,02-Rain,07-Dark,INTERSECTION,
351,13-019888,20130125,ONTARIO ST S @ JOSEPH ST,02-Intersection related,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
352,13-002898,20130106,ARNOLD ST @ LANCASTER ST W,01-Non intersection,02-Thru lane,01-Clear,07-Dark,INTERSECTION,
353,13-014131,20130118,RIVERBEND DR @ BRIDGEPORT RD,01-Non intersection,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
354,13-039292,20130219,ST LEGER ST @ BREITHAUPT ST,03-At intersection,01-Within intersection,02-Rain,01-Daylight,INTERSECTION,
355,13-027545,20130204,KIPLING AVE @ VANIER DR,02-Intersection related,11-Not on roadway - right side,01-Clear,01-Daylight,INTERSECTION,
